frame,day,entity_type,id,x_position,y_position,fuel_level,state,refuel_point_x,refuel_point_y
25,1,vehicle,4,30.0,24.0,82.0,patrolling,,
25,1,refuel_vehicle,1,0,20,,idle,,
25,1,refuel_vehicle,2,20,0,,idle,,
25,1,refuel_vehicle,3,40,40,,idle,,
25,1,hub,1,0,20,,,,
25,1,hub,2,20,0,,,,
25,1,hub,3,40,40,,,,
26,1,vehicle,1,12.0,17.0,85.5,patrolling,,
26,1,vehicle,2,37.0,19.0,78.0,patrolling,,
26,1,vehicle,3,17.0,35.0,81.0,patrolling,,
26,1,vehicle,4,30.0,22.0,81.0,patrolling,,
26,1,refuel_vehicle,1,0,20,,idle,,
26,1,refuel_vehicle,2,20,0,,idle,,
26,1,refuel_vehicle,3,40,40,,idle,,
26,1,hub,1,0,20,,,,
26,1,hub,2,20,0,,,,
26,1,hub,3,40,40,,,,
27,1,vehicle,1,10.0,17.0,84.5,patrolling,,
27,1,vehicle,2,37.0,19.0,78.0,patrolling,,
27,1,vehicle,3,15.0,35.0,80.0,patrolling,,
27,1,vehicle,4,30.0,21.0,80.5,patrolling,,
27,1,refuel_vehicle,1,0,20,,idle,,
27,1,refuel_vehicle,2,20,0,,idle,,
27,1,refuel_vehicle,3,40,40,,idle,,
27,1,hub,1,0,20,,,,
27,1,hub,2,20,0,,,,
27,1,hub,3,40,40,,,,
28,1,vehicle,1,12.0,17.0,83.5,patrolling,,
28,1,vehicle,2,37.0,18.0,77.5,patrolling,,
28,1,vehicle,3,15.0,33.0,79.0,patrolling,,
28,1,vehicle,4,30.0,22.0,80.0,patrolling,,
28,1,refuel_vehicle,1,0,20,,idle,,
28,1,refuel_vehicle,2,20,0,,idle,,
28,1,refuel_vehicle,3,40,40,,idle,,
28,1,hub,1,0,20,,,,
28,1,hub,2,20,0,,,,
28,1,hub,3,40,40,,,,
29,1,vehicle,1,11.0,17.0,83.0,patrolling,,
29,1,vehicle,2,37.0,16.0,76.5,patrolling,,
29,1,vehicle,3,15.0,32.0,78.5,patrolling,,
29,1,vehicle,4,30.0,21.0,79.5,patrolling,,
29,1,refuel_vehicle,1,0,20,,idle,,
29,1,refuel_vehicle,2,20,0,,idle,,
29,1,refuel_vehicle,3,40,40,,idle,,
29,1,hub,1,0,20,,,,
29,1,hub,2,20,0,,,,
29,1,hub,3,40,40,,,,
